fixture_id,home_away,opposition,format,date
1,away,henley,50 over,07/05/2022
2,home,datchet,50 over,14/05/2022
3,away,wokingham,50 over,21/05/2022
4,away,wycombe,50 over,28/05/2022
5,home,banbury,50 over,04/06/2022
6,away,slough,timed,11/06/2022
7,home,finchampstead,timed,18/06/2022
8,away,aston rowant,timed,25/06/2022
9,home,buckingham,timed,02/07/2022
10,home,henley,timed,09/07/2022
11,away,datchet,timed,16/07/2022
12,home,wokingham,timed,23/07/2022
13,home,wycombe,timed,30/07/2022
14,away,banbury,timed,06/08/2022
15,home,slough,50 over,13/08/2022
16,away,finchampstead,50 over,20/08/2022
17,home,aston rowant,50 over,27/08/2022
18,away,buckingham,50 over,03/09/2022
